Mechanics|Description|Tax|codig
Action Points|Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing. # Action Point mechanic, each player has a certain amount of points per round. These points can be spent on available actions, until the player does not have enough remaining to purchase any more actions. Many games limit the player to one action, which is a very simple form of this mechanic. This mechanic derives from the BGG mechanic Action Point Allowance System we rephrase its description[1] and adapt the name to the concept. In Takenoko, for example, players have 2 action points to choose among different possible actions. {kritza}|Evaluating|GM21
Appointment|A mechanic in which to succeed a “player” must return at a predefined time to take a predetermined action. Simple and powerful mechanic to influence the player’s behavior. # The purpose of appointment mechanics is to make playing the game into a habit, a routine part of your day. Remember that a free to play game lives or dies based on its ability to retain paying players, and a player is really only likely to become a paying player if they stick with the game for longer periods of time. It’s impossible to emphasize this enough. Retention, retention, retention. This isn’t limited to free to play games, either. If you’ve ever played an MMORPG, you’ve probably seen daily quests. Games with a focus on multiplayer or social elements may also have these, such as Animal Crossing’s fruit, Pokemon’s berry plants, and Nintendogs’ contests. {chen2014a}|Understanding|GM51
Behavioral Momentum|Used to give confidence and motivate players to continue the game. # Definition: The tendency of players to keep doing what they have been doing. Example: From Jesse Schell’s awesome Dice talk: “I have spent ten hours playing Farmville. I am a smart person and wouldn’t spend 10 hours on something unless it was useful. Therefore this must be useful, so I can keep doing it.” {schonfeld2010} # Behavioral momentum is used in games to make players keep on doing what they have been doing. In many games you will normally have a skill level what you can level up by repeating the process of something. For example in WoW You can level a skill called mining by repeating the process {anderson2015}|Retention|GM64
Capture-Eliminate|The strength of the player is defined by how many points or counters the player has captured. This is most prominent in action, strategic or war based games. Many board games also use this technique. # This mechanics is commonly used in action, strategic or war based games as well as in many board games where the strength of players is determined by obtaining points or capturing counters[8]. This mechanics is usually tied to a strategy and planning context in which the player has to make up a strategy in order to win. This is why it could be viewed as a problem solving mechanic related to Problem-based learning. It could also be related to behaviorism if the fact of obtaining points, and capturing or eliminating counters represents a reward of players’ actions. {patino2016}|Applying|GM41
Cascading Information, Cut Scene, Story|Information released in minimal snippets to gain the appropriate level of understanding at each point during a game. # The theory is that information ought to be discharged in the minimum possible snippets to achieve the appropriate level of understanding at every point throughout a game narrative. showing basic actions 1st, unlocking more as you progress through levels. This is so you can handle the information better than if you was given too much information to remember in a short period of time. In World of Warcraft you get a talent tree which unlocks more spells and abilities as you level up. This is so its easy for you to learn only a few at the beginning but as you slowly level up you are learning more spells until you reach a the max level and have unlocked the full talent tree allowing you access to all of the spells. If you was given all of the spells at the beginning  of the game it would be chaotic and you would not know what to do. {anderson2015}|Retention|GM52
Collecting|Elements of virtual knowledge, competencies, or rewards can be represented by virtual objects, which can be collected by the player. # game where players need to collect something, a component, points, resources etc. Pool Building With this mechanic players start the game with a predetermined pool of components and add or remove components to this pool throughout the game. Players use the components of this pool in other aspects of the game, they can be used as resources to fuel other actions or as a scoring. This mechanic derives from the Deck/Poll Building BGG mechanic which mix two mechanics, which we split in Pool Building and Deck Building. Deck building is a composition of Poll Building and Card mechanics. As example, in Quarriors you build a pool of dices which you roll each round to battle and try to get points, in Dominion you build a deck of cards from which cards you use to colect more cards and to score points. Set Collection In this type of Collection, what players collect need to be part of a pre-defined set, in order to complete their objective in collecting. The main idea is that players collect the sets by collecting the parts of the set. Pit is a game where players must collect all cards of the same type. {xexeo2017}|Applying|GM46
Communal Discovery|Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network. The game dynamic wherein an entire community is rallied to work together to solve a riddle, a problem or a challenge. Immensely viral and very fun.Example: DARPA balloon challenge, the cottage industries that appear around McDonalds monopoly to find ''Boardwalk'' {schonfeld2010}|Evaluating|GM24
Competition|Competition could mean a player against the other players, or a team of players cooperating/collaborating together to compete against other teams. In this second case, competition could be associated to collaborative learning. We consider competition as a different game mechanics from collaboration or cooperation since collaborative and cooperative games do not necessarily imply competition {patino2016}|Evaluating|GM42
Cooperation-Collaboration|In cooperative games, the mechanics require players to work with one another but their goals are different, and not all players are guaranteed to benefit equally. In collaborative games, players share common goals and outcomes; players either win or lose together. Cooperative games exist on the spectrum between competitive and collaborative games, where gamers are rewarded for group-oriented strategies only when it is in their own self-interest. # Cooperation: Independent goals with agreements not to interfere with each other. Collaboration The process of shared creation; collectively creating something new that could not have been created by the individual users. {michaelmacfadden2018}|Applying|GM43
Design-editing|We define this game mechanics as the possibility for the player to edit objects, scenes or other game components; or adding new components to the game. Since editing is about modifying and constructing into the game world, we see a relation with the constructionism learning theory. {patino2016}|Applying|GM11
