index,File26,descrição_x,Taxonomia,File31,descrição_y
0,Action Points,"Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing.",Evaluating,Assessment,"Measurement of the progress and achievement of a learner (typically through quizzes, examinations or even projects). For example, formative assessment allows learners to gauge their proficiency thereby to improve their self-regulatory skills. Rather than expressed as marks or grades, words are used to convey or reveal information, which can then be used diagnostically (e.g. summative assessment)."
1,Action Points,"Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing.",Evaluating,Hypothesis,Often related to acquisition-learning it is a method to develop competency in a specific subject area. Most contemporary use in education relates to performing a task and being able to debate the underpinning knowledge and understanding.
2,Action Points,"Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing.",Evaluating,Incentive,"Incentive learning is the process via which learners update changes in the value of rewards. Such methods are useful in changing the behaviour of the learner, where a stimulus-response habit mechanism and a goaldirected process are the two learning mechanisms. The first is learning about the instrumental contingency between the response and reward, whereas the second consists of the acquisition of incentive value by the reward."
3,Action Points,"Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing.",Evaluating,Motivation,"In terms of extrinsic motivation, marks and grades are used to target students who are more concerned with the numeric value of their work, and those that seek status. Intrinsic motivation typifies students who enjoy challenge, want to master a subject, are curious and want to learn. They are inspired to achieve high grades even when the task does not inspire interest."
4,Action Points,"Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing.",Evaluating,Reflect-Discuss,"Consideration of an experience, or of learning, to enhance understanding or inform action. Learners often compile logbooks to record their reflections on learning activities."
5,Communal Discovery,"Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network.",Evaluating,Assessment,"Measurement of the progress and achievement of a learner (typically through quizzes, examinations or even projects). For example, formative assessment allows learners to gauge their proficiency thereby to improve their self-regulatory skills. Rather than expressed as marks or grades, words are used to convey or reveal information, which can then be used diagnostically (e.g. summative assessment)."
6,Communal Discovery,"Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network.",Evaluating,Hypothesis,Often related to acquisition-learning it is a method to develop competency in a specific subject area. Most contemporary use in education relates to performing a task and being able to debate the underpinning knowledge and understanding.
7,Communal Discovery,"Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network.",Evaluating,Incentive,"Incentive learning is the process via which learners update changes in the value of rewards. Such methods are useful in changing the behaviour of the learner, where a stimulus-response habit mechanism and a goaldirected process are the two learning mechanisms. The first is learning about the instrumental contingency between the response and reward, whereas the second consists of the acquisition of incentive value by the reward."
8,Communal Discovery,"Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network.",Evaluating,Motivation,"In terms of extrinsic motivation, marks and grades are used to target students who are more concerned with the numeric value of their work, and those that seek status. Intrinsic motivation typifies students who enjoy challenge, want to master a subject, are curious and want to learn. They are inspired to achieve high grades even when the task does not inspire interest."
9,Communal Discovery,"Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network.",Evaluating,Reflect-Discuss,"Consideration of an experience, or of learning, to enhance understanding or inform action. Learners often compile logbooks to record their reflections on learning activities."
10,Game Turns,"A segment of the game set aside for certain actions to happen before moving on to the next turn, where the sequence of events can largely be repeated.",Evaluating,Assessment,"Measurement of the progress and achievement of a learner (typically through quizzes, examinations or even projects). For example, formative assessment allows learners to gauge their proficiency thereby to improve their self-regulatory skills. Rather than expressed as marks or grades, words are used to convey or reveal information, which can then be used diagnostically (e.g. summative assessment)."
11,Game Turns,"A segment of the game set aside for certain actions to happen before moving on to the next turn, where the sequence of events can largely be repeated.",Evaluating,Hypothesis,Often related to acquisition-learning it is a method to develop competency in a specific subject area. Most contemporary use in education relates to performing a task and being able to debate the underpinning knowledge and understanding.
12,Game Turns,"A segment of the game set aside for certain actions to happen before moving on to the next turn, where the sequence of events can largely be repeated.",Evaluating,Incentive,"Incentive learning is the process via which learners update changes in the value of rewards. Such methods are useful in changing the behaviour of the learner, where a stimulus-response habit mechanism and a goaldirected process are the two learning mechanisms. The first is learning about the instrumental contingency between the response and reward, whereas the second consists of the acquisition of incentive value by the reward."
13,Game Turns,"A segment of the game set aside for certain actions to happen before moving on to the next turn, where the sequence of events can largely be repeated.",Evaluating,Motivation,"In terms of extrinsic motivation, marks and grades are used to target students who are more concerned with the numeric value of their work, and those that seek status. Intrinsic motivation typifies students who enjoy challenge, want to master a subject, are curious and want to learn. They are inspired to achieve high grades even when the task does not inspire interest."
14,Game Turns,"A segment of the game set aside for certain actions to happen before moving on to the next turn, where the sequence of events can largely be repeated.",Evaluating,Reflect-Discuss,"Consideration of an experience, or of learning, to enhance understanding or inform action. Learners often compile logbooks to record their reflections on learning activities."
15,Pareto Optimal,"A mechanic where the outcome is one in which no player could be better off without another becoming worse off. The mechanic occurs in a number of conflicts, negotiation, economics, management and quantum games. Pareto efficiency is reached if the games’ outcome is shown to deliver a Pareto optimal allocation of resources.",Evaluating,Assessment,"Measurement of the progress and achievement of a learner (typically through quizzes, examinations or even projects). For example, formative assessment allows learners to gauge their proficiency thereby to improve their self-regulatory skills. Rather than expressed as marks or grades, words are used to convey or reveal information, which can then be used diagnostically (e.g. summative assessment)."
16,Pareto Optimal,"A mechanic where the outcome is one in which no player could be better off without another becoming worse off. The mechanic occurs in a number of conflicts, negotiation, economics, management and quantum games. Pareto efficiency is reached if the games’ outcome is shown to deliver a Pareto optimal allocation of resources.",Evaluating,Hypothesis,Often related to acquisition-learning it is a method to develop competency in a specific subject area. Most contemporary use in education relates to performing a task and being able to debate the underpinning knowledge and understanding.
17,Pareto Optimal,"A mechanic where the outcome is one in which no player could be better off without another becoming worse off. The mechanic occurs in a number of conflicts, negotiation, economics, management and quantum games. Pareto efficiency is reached if the games’ outcome is shown to deliver a Pareto optimal allocation of resources.",Evaluating,Incentive,"Incentive learning is the process via which learners update changes in the value of rewards. Such methods are useful in changing the behaviour of the learner, where a stimulus-response habit mechanism and a goaldirected process are the two learning mechanisms. The first is learning about the instrumental contingency between the response and reward, whereas the second consists of the acquisition of incentive value by the reward."
18,Pareto Optimal,"A mechanic where the outcome is one in which no player could be better off without another becoming worse off. The mechanic occurs in a number of conflicts, negotiation, economics, management and quantum games. Pareto efficiency is reached if the games’ outcome is shown to deliver a Pareto optimal allocation of resources.",Evaluating,Motivation,"In terms of extrinsic motivation, marks and grades are used to target students who are more concerned with the numeric value of their work, and those that seek status. Intrinsic motivation typifies students who enjoy challenge, want to master a subject, are curious and want to learn. They are inspired to achieve high grades even when the task does not inspire interest."
19,Pareto Optimal,"A mechanic where the outcome is one in which no player could be better off without another becoming worse off. The mechanic occurs in a number of conflicts, negotiation, economics, management and quantum games. Pareto efficiency is reached if the games’ outcome is shown to deliver a Pareto optimal allocation of resources.",Evaluating,Reflect-Discuss,"Consideration of an experience, or of learning, to enhance understanding or inform action. Learners often compile logbooks to record their reflections on learning activities."
20,Resource Management,Establishing relative values for different types of resources. Games that use this mechanic often have several concurrent transactions and the challenge involves making the best decision given the resources and time constraints.,Evaluating,Assessment,"Measurement of the progress and achievement of a learner (typically through quizzes, examinations or even projects). For example, formative assessment allows learners to gauge their proficiency thereby to improve their self-regulatory skills. Rather than expressed as marks or grades, words are used to convey or reveal information, which can then be used diagnostically (e.g. summative assessment)."
21,Resource Management,Establishing relative values for different types of resources. Games that use this mechanic often have several concurrent transactions and the challenge involves making the best decision given the resources and time constraints.,Evaluating,Hypothesis,Often related to acquisition-learning it is a method to develop competency in a specific subject area. Most contemporary use in education relates to performing a task and being able to debate the underpinning knowledge and understanding.
22,Resource Management,Establishing relative values for different types of resources. Games that use this mechanic often have several concurrent transactions and the challenge involves making the best decision given the resources and time constraints.,Evaluating,Incentive,"Incentive learning is the process via which learners update changes in the value of rewards. Such methods are useful in changing the behaviour of the learner, where a stimulus-response habit mechanism and a goaldirected process are the two learning mechanisms. The first is learning about the instrumental contingency between the response and reward, whereas the second consists of the acquisition of incentive value by the reward."
23,Resource Management,Establishing relative values for different types of resources. Games that use this mechanic often have several concurrent transactions and the challenge involves making the best decision given the resources and time constraints.,Evaluating,Motivation,"In terms of extrinsic motivation, marks and grades are used to target students who are more concerned with the numeric value of their work, and those that seek status. Intrinsic motivation typifies students who enjoy challenge, want to master a subject, are curious and want to learn. They are inspired to achieve high grades even when the task does not inspire interest."
24,Resource Management,Establishing relative values for different types of resources. Games that use this mechanic often have several concurrent transactions and the challenge involves making the best decision given the resources and time constraints.,Evaluating,Reflect-Discuss,"Consideration of an experience, or of learning, to enhance understanding or inform action. Learners often compile logbooks to record their reflections on learning activities."
25,Rewards,Feedback a player would receive for a worthy action. Used to incentivise the player to progress in the game. Rewards are designed to sustain engagement and to satisfy the player.,Evaluating,Assessment,"Measurement of the progress and achievement of a learner (typically through quizzes, examinations or even projects). For example, formative assessment allows learners to gauge their proficiency thereby to improve their self-regulatory skills. Rather than expressed as marks or grades, words are used to convey or reveal information, which can then be used diagnostically (e.g. summative assessment)."
26,Rewards,Feedback a player would receive for a worthy action. Used to incentivise the player to progress in the game. Rewards are designed to sustain engagement and to satisfy the player.,Evaluating,Hypothesis,Often related to acquisition-learning it is a method to develop competency in a specific subject area. Most contemporary use in education relates to performing a task and being able to debate the underpinning knowledge and understanding.
27,Rewards,Feedback a player would receive for a worthy action. Used to incentivise the player to progress in the game. Rewards are designed to sustain engagement and to satisfy the player.,Evaluating,Incentive,"Incentive learning is the process via which learners update changes in the value of rewards. Such methods are useful in changing the behaviour of the learner, where a stimulus-response habit mechanism and a goaldirected process are the two learning mechanisms. The first is learning about the instrumental contingency between the response and reward, whereas the second consists of the acquisition of incentive value by the reward."
28,Rewards,Feedback a player would receive for a worthy action. Used to incentivise the player to progress in the game. Rewards are designed to sustain engagement and to satisfy the player.,Evaluating,Motivation,"In terms of extrinsic motivation, marks and grades are used to target students who are more concerned with the numeric value of their work, and those that seek status. Intrinsic motivation typifies students who enjoy challenge, want to master a subject, are curious and want to learn. They are inspired to achieve high grades even when the task does not inspire interest."
29,Rewards,Feedback a player would receive for a worthy action. Used to incentivise the player to progress in the game. Rewards are designed to sustain engagement and to satisfy the player.,Evaluating,Reflect-Discuss,"Consideration of an experience, or of learning, to enhance understanding or inform action. Learners often compile logbooks to record their reflections on learning activities."
30,Urgent Optimism,Used to elicit a desire to act immediately to tackle an obstacle combined with the belief that it has a reasonable hope of success.,Evaluating,Assessment,"Measurement of the progress and achievement of a learner (typically through quizzes, examinations or even projects). For example, formative assessment allows learners to gauge their proficiency thereby to improve their self-regulatory skills. Rather than expressed as marks or grades, words are used to convey or reveal information, which can then be used diagnostically (e.g. summative assessment)."
31,Urgent Optimism,Used to elicit a desire to act immediately to tackle an obstacle combined with the belief that it has a reasonable hope of success.,Evaluating,Hypothesis,Often related to acquisition-learning it is a method to develop competency in a specific subject area. Most contemporary use in education relates to performing a task and being able to debate the underpinning knowledge and understanding.
32,Urgent Optimism,Used to elicit a desire to act immediately to tackle an obstacle combined with the belief that it has a reasonable hope of success.,Evaluating,Incentive,"Incentive learning is the process via which learners update changes in the value of rewards. Such methods are useful in changing the behaviour of the learner, where a stimulus-response habit mechanism and a goaldirected process are the two learning mechanisms. The first is learning about the instrumental contingency between the response and reward, whereas the second consists of the acquisition of incentive value by the reward."
33,Urgent Optimism,Used to elicit a desire to act immediately to tackle an obstacle combined with the belief that it has a reasonable hope of success.,Evaluating,Motivation,"In terms of extrinsic motivation, marks and grades are used to target students who are more concerned with the numeric value of their work, and those that seek status. Intrinsic motivation typifies students who enjoy challenge, want to master a subject, are curious and want to learn. They are inspired to achieve high grades even when the task does not inspire interest."
34,Urgent Optimism,Used to elicit a desire to act immediately to tackle an obstacle combined with the belief that it has a reasonable hope of success.,Evaluating,Reflect-Discuss,"Consideration of an experience, or of learning, to enhance understanding or inform action. Learners often compile logbooks to record their reflections on learning activities."
35,Appointment,A mechanic in which to succeed a “player” must return at a predefined time to take a predetermined action. Simple and powerful mechanic to influence the player’s behavior.,Understanding,Objectify,"Termed behavioural objectives (commonly referred as learning outcomes). Its meaning ranges from exact, measurable outcomes of specific learning experiences to more generalised statements for courses of study."
36,Appointment,A mechanic in which to succeed a “player” must return at a predefined time to take a predetermined action. Simple and powerful mechanic to influence the player’s behavior.,Understanding,Participation,A (active learning) process of engaging with the learning task at both the cognitive and affective level.
37,Appointment,A mechanic in which to succeed a “player” must return at a predefined time to take a predetermined action. Simple and powerful mechanic to influence the player’s behavior.,Understanding,Question and Answer,"An active learning mechanism linked with participation that encourages learners to use the questioning strategies to assess what they have learned, to develop their thinking skills."
38,Appointment,A mechanic in which to succeed a “player” must return at a predefined time to take a predetermined action. Simple and powerful mechanic to influence the player’s behavior.,Understanding,Tutorial,"Used with different meanings according to discipline, type of institution, level, and teaching and learning method that involves a tutor or peer."
39,Questions and Answers,"Used within the gaming environment as a basic, yet effective means of interacting and engaging with the player to facilitate learning.",Understanding,Objectify,"Termed behavioural objectives (commonly referred as learning outcomes). Its meaning ranges from exact, measurable outcomes of specific learning experiences to more generalised statements for courses of study."
40,Questions and Answers,"Used within the gaming environment as a basic, yet effective means of interacting and engaging with the player to facilitate learning.",Understanding,Participation,A (active learning) process of engaging with the learning task at both the cognitive and affective level.
41,Questions and Answers,"Used within the gaming environment as a basic, yet effective means of interacting and engaging with the player to facilitate learning.",Understanding,Question and Answer,"An active learning mechanism linked with participation that encourages learners to use the questioning strategies to assess what they have learned, to develop their thinking skills."
42,Questions and Answers,"Used within the gaming environment as a basic, yet effective means of interacting and engaging with the player to facilitate learning.",Understanding,Tutorial,"Used with different meanings according to discipline, type of institution, level, and teaching and learning method that involves a tutor or peer."
43,Role Playing,"Rely on mechanics to establish the effectiveness of actions within the game, depending on how well the player assumes and develops their role as a virtual character.",Understanding,Objectify,"Termed behavioural objectives (commonly referred as learning outcomes). Its meaning ranges from exact, measurable outcomes of specific learning experiences to more generalised statements for courses of study."
44,Role Playing,"Rely on mechanics to establish the effectiveness of actions within the game, depending on how well the player assumes and develops their role as a virtual character.",Understanding,Participation,A (active learning) process of engaging with the learning task at both the cognitive and affective level.
45,Role Playing,"Rely on mechanics to establish the effectiveness of actions within the game, depending on how well the player assumes and develops their role as a virtual character.",Understanding,Question and Answer,"An active learning mechanism linked with participation that encourages learners to use the questioning strategies to assess what they have learned, to develop their thinking skills."
46,Role Playing,"Rely on mechanics to establish the effectiveness of actions within the game, depending on how well the player assumes and develops their role as a virtual character.",Understanding,Tutorial,"Used with different meanings according to discipline, type of institution, level, and teaching and learning method that involves a tutor or peer."
47,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,Retention,Discover,"An inquiry-based learning mechanic (from constructivist learning theory) where the learner draws on past experiences and existing knowledge to discover new facts and relationships to solve problems. As a result, learners are more likely to retain concepts and knowledge in contrast to transmissionist learning. Related to: guided discovery, problem-based learning, simulation-based learning, case-based learning, and incidental learning."
48,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,Retention,Explore,"A mechanism that encourages the learner to explore and experiment to uncover relationships, with much less of a focus on didactic training (teaching students by lecturing them). Exploratory learning approaches are considered most appropriate for teaching generalised thinking and problemsolving skills, and may not be the best approach for such things as memorisation (or repetition). Is related to constructivist theory."
49,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,Retention,Generalisation-Discrimination,"In psychology this relates to the process by which people learn to make different responses to different stimuli. Behaviourists describe this as classical conditioning (also Pavlovian or respondent conditioning, Pavlovian reinforcement). In some ways this can be viewed as induction. Induction (inductive learning/teaching) aims at equipping learners with background information so that they might become effective in their role sooner."
50,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,Retention,Guidance,"A means to help students see the structure, links and direction of the course material."
