Mechanics|Description|Score
(data) analysis|The process of building new information about the existing data, based on them.|0
(data) collection-gathering|The prior process of obtaining the information to generate data.|0
(data) representation|The process of defining or choosing the data structure and modeling the data into it accordingly.|0
(data) transformation|The process of migrating data from a structure to another.|0
(data) visualization|The process of accessing and/or granting access to data, which relies on representation and enables/powers interpretation and analysis. Visualization targets not only analysis, but communication. How to inform, how to show, how to pass on information?|0
(non)determinism|The property of always progressing the same way, producing the same outputs when the process is executed using the same inputs and/or initial conditions. In turn, non-determinism is the absence of that property.|0
abstraction|The process of extracting features from a source in a given context and putting them isolated in a new context. The set of features selected to the new context is also called an abstraction. The features left behind in the source are said abstracted. The given, original context is said the lower level/layer of abstraction. The new context is said the upper level. When the abstraction keeps referring specifically to its origin, being merely a representation of something more complex, it is said to be shallow. When the abstraction loses sight of its origin or is not restrained to it, becoming something on its own, it is said to be deep.|0
algorithm|A description of a process composed by an organized finite collection of unambiguous steps.|0
algorithmic thinking|A habit of mind where the thinker tries to shape a thought as an algorithm, caring about the definition of each step, the flow of control to organize them, and eventually non-determinism, parallelism, inputs and outputs.|0
automation|The process of granting autonomy. Decreasing dependency of your guidance by giving instructions reachable without consulting you.|0
classification|A systematic organization into classes, ensuring things that belong to the same class share a minimal set of features. Usually the classes are defined and then we try to fit thing into them. But there is also the inverse process, clustering, when things are first organized based on their similarities and then their groups form classes, the clusters.|0
data|Quantized information. Information made up by a finite set of discrete units, what allows it to be transmitted and operated by computers.|0
data structure|A model that defines how the building blocks of data are organized in order to raise up meaning, how they can relate and how to access, modify or operate upon the data modeled by it.|0
dealing with complexity|As the process extract a subset of features, it is a proper way of pruning complexity out of an object.|0
debugging|The process of fixing the errors (called bugs in CS). Or the systematic search for errors (tracking) that precedes their fixing. Ability-wise, debugging is a system awareness, it is about knowing what is happening and how. Or, yet, making the system more transparent, clearly self-reporting its processes, so misbehavior and unexpected values can be spotted and traced.|0
decomposition-composition|Decomposition is the process of breaking things down into parts. Reformulating or recognizing a whole as a collection of constituents. Composition is the reverse of it, how to assemble parts up into a whole. Or, reformulating/recognizing a collection of things as a single whole.|0
development|The process of creating software artifacts, such as games and mobile applications. From the perspective of automation, as defined above, coding a software is enabling the computer to consult the code (instead of you) to decide what to do. The more it relies on your inputs along its execution, the less autonomous it will be.|0
emergence|Whenever something shows a feature or behavior that is not shown by any of its parts on their own, those features/behaviors are said emergent. When the whole is more than the sum of the parts, like a water resting in a glass, it is more than the sum of moles of 𝐻2𝑂 molecules. It has features that comes from the interaction of the molecules, emergent features, as surface tension. Information-wise, emergence is specially interesting for being able to create complex systems out of simple structures, as studied in swarm behavior and hive mind. A pretty visual real life example is the autonomous fluid-like behavior assumed by schools of fish and some flock of birds.|0
