,PC,type,Mechanics,Mech_desc,score,modelo
52,Automation,GM,Action Points,"Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing.",0.25094279646873474,all-MiniLM-L6-v2
53,Automation,GM,Appointment,A mechanic in which to succeed a “player” must return at a predefined time to take a predetermined action. Simple and powerful mechanic to influence the player’s behavior.,0.3042065501213074,all-MiniLM-L6-v2
2,Abstraction,GM,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,0.161152184009552,all-MiniLM-L6-v2
3,Abstraction,GM,Capture-Eliminate,"The strength of the player is defined by how many points or counters the player has captured. This is most prominent in action, strategic or war based games. Many board games also use this technique.",0.18887747824192047,all-MiniLM-L6-v2
4,Abstraction,GM,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,0.371505469083786,all-MiniLM-L6-v2
109,Decomposition,GM,Collecting,"Elements of virtual knowledge, competencies, or rewards can be represented by virtual objects, which can be collected by the player.",0.28180795907974243,all-MiniLM-L6-v2
110,Decomposition,GM,Communal Discovery,"Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network.",0.21036507189273834,all-MiniLM-L6-v2
111,Decomposition,GM,Cooperation-Collaboration,"In cooperative games, the mechanics require players to work with one another but their goals are different, and not all players are guaranteed to benefit equally. In collaborative games, players share common goals and outcomes; players either win or lose together. Cooperative games exist on the spectrum between competitive and collaborative games, where gamers are rewarded for group-oriented strategies only when it is in their own self-interest.",0.1917262077331543,all-MiniLM-L6-v2
112,Decomposition,GM,Game Turns,"A segment of the game set aside for certain actions to happen before moving on to the next turn, where the sequence of events can largely be repeated.",0.3051421046257019,all-MiniLM-L6-v2
9,Abstraction,GM,Infinite Gameplay,Games that have no explicit end. Most applicable to casual games that can refresh their content or games where a static (but positive) state is a reward of its own.,0.18408876657485962,all-MiniLM-L6-v2
10,Abstraction,GM,Meta-Game Mechanic,"Rewards or improvements that can be earned during the actual game-play and/or outside of it, that carries over to repeat plays.",0.21806208789348602,all-MiniLM-L6-v2
11,Abstraction,GM,Ownership (GM),Used to create loyalty of the gaming pool.,0.11507958173751831,all-MiniLM-L6-v2
142,Evaluation,GM,Pareto Optimal,"A mechanic where the outcome is one in which no player could be better off without another becoming worse off. The mechanic occurs in a number of conflicts, negotiation, economics, management and quantum games. Pareto efficiency is reached if the games’ outcome is shown to deliver a Pareto optimal allocation of resources.",0.23149558901786804,all-MiniLM-L6-v2
13,Abstraction,GM,Pavlovian Interaction,"Follows the methodology ‘easy to learn, hard to master’. Meaning the game is simple to pick up and play, however, increases its difficulty as the user advances through the game. Used to ‘hook’ gamers due to its replay value and challenging environment.",0.21685999631881714,all-MiniLM-L6-v2
66,Automation,GM,Protégé Effect,Explores learners’ tendency to work harder for their teachable agents (i.e. their avatars or alter ego) than for themselves; it has significant benefits for learning and engagement.,0.24593472480773926,all-MiniLM-L6-v2
