,PC,type,Mechanics,Mech_desc,score,modelo
52,Automation,GM,Action Points,"Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing.",0.5663842558860779,gtr-t5-xl
105,Decomposition,GM,Appointment,A mechanic in which to succeed a “player” must return at a predefined time to take a predetermined action. Simple and powerful mechanic to influence the player’s behavior.,0.5712820887565613,gtr-t5-xl
2,Abstraction,GM,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,0.5138753652572632,gtr-t5-xl
3,Abstraction,GM,Capture-Eliminate,"The strength of the player is defined by how many points or counters the player has captured. This is most prominent in action, strategic or war based games. Many board games also use this technique.",0.5833423733711243,gtr-t5-xl
4,Abstraction,GM,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,0.6087016463279724,gtr-t5-xl
5,Abstraction,GM,Collecting,"Elements of virtual knowledge, competencies, or rewards can be represented by virtual objects, which can be collected by the player.",0.5791414380073547,gtr-t5-xl
110,Decomposition,GM,Communal Discovery,"Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network.",0.617853581905365,gtr-t5-xl
111,Decomposition,GM,Cooperation-Collaboration,"In cooperative games, the mechanics require players to work with one another but their goals are different, and not all players are guaranteed to benefit equally. In collaborative games, players share common goals and outcomes; players either win or lose together. Cooperative games exist on the spectrum between competitive and collaborative games, where gamers are rewarded for group-oriented strategies only when it is in their own self-interest.",0.5500946640968323,gtr-t5-xl
60,Automation,GM,Game Turns,"A segment of the game set aside for certain actions to happen before moving on to the next turn, where the sequence of events can largely be repeated.",0.5483981370925903,gtr-t5-xl
61,Automation,GM,Infinite Gameplay,Games that have no explicit end. Most applicable to casual games that can refresh their content or games where a static (but positive) state is a reward of its own.,0.5138134956359863,gtr-t5-xl
114,Decomposition,GM,Meta-Game Mechanic,"Rewards or improvements that can be earned during the actual game-play and/or outside of it, that carries over to repeat plays.",0.5409958958625793,gtr-t5-xl
11,Abstraction,GM,Ownership (GM),Used to create loyalty of the gaming pool.,0.5623777508735657,gtr-t5-xl
64,Automation,GM,Pareto Optimal,"A mechanic where the outcome is one in which no player could be better off without another becoming worse off. The mechanic occurs in a number of conflicts, negotiation, economics, management and quantum games. Pareto efficiency is reached if the games’ outcome is shown to deliver a Pareto optimal allocation of resources.",0.5846627354621887,gtr-t5-xl
13,Abstraction,GM,Pavlovian Interaction,"Follows the methodology ‘easy to learn, hard to master’. Meaning the game is simple to pick up and play, however, increases its difficulty as the user advances through the game. Used to ‘hook’ gamers due to its replay value and challenging environment.",0.569046676158905,gtr-t5-xl
14,Abstraction,GM,Protégé Effect,Explores learners’ tendency to work harder for their teachable agents (i.e. their avatars or alter ego) than for themselves; it has significant benefits for learning and engagement.,0.5492889881134033,gtr-t5-xl
15,Abstraction,GM,Questions and Answers,"Used within the gaming environment as a basic, yet effective means of interacting and engaging with the player to facilitate learning.",0.5706287622451782,gtr-t5-xl
68,Automation,GM,Quick Feedback,"Shows the user what they have just done, and gives them instant gratification (the feel-good factor) of things happening after they have completed a task. Allows the user to feel understood by the game; by giving a user power, the game fulfills a natural human desire.",0.6089544296264648,gtr-t5-xl
121,Decomposition,GM,Resource Management,Establishing relative values for different types of resources. Games that use this mechanic often have several concurrent transactions and the challenge involves making the best decision given the resources and time constraints.,0.5611260533332825,gtr-t5-xl
148,Evaluation,GM,Rewards,Feedback a player would receive for a worthy action. Used to incentivise the player to progress in the game. Rewards are designed to sustain engagement and to satisfy the player.,0.5609331130981445,gtr-t5-xl
123,Decomposition,GM,Role Playing,"Rely on mechanics to establish the effectiveness of actions within the game, depending on how well the player assumes and develops their role as a virtual character.",0.5474811792373657,gtr-t5-xl
20,Abstraction,GM,Status,"Provides a sense of belonging or meaningful empowerment. Multiple forms of status, such as titles, levels, tiers, rank not just globally but also locally within a community.",0.559332549571991,gtr-t5-xl
125,Decomposition,GM,Tile Based and Physical Movement,Based on how players or elements in games move from one point to another. Tile based movement allows players to move and explore a world which is divided into tiles in turns and amount of tiles moved. Physics based movement provides a greater sense of immersion as players feel as though they are inside the game environment. The focus is no longer about the game tiles but on what players do with them within the limited resources and time.,0.546518862247467,gtr-t5-xl
22,Abstraction,GM,Tile-Laying,Often drawn by the player for strategic positioning in order to achieve a set personal objective or game based goal.,0.5774451494216919,gtr-t5-xl
75,Automation,GM,Tokens to Act as Cards or Random Elements,"To add the element of surprise and act as a randomiser, cards and tokens can be used to add a layer of unpredictability to the game and determine game states.",0.5530166625976562,gtr-t5-xl
24,Abstraction,GM,Urgent Optimism,Used to elicit a desire to act immediately to tackle an obstacle combined with the belief that it has a reasonable hope of success.,0.5381531119346619,gtr-t5-xl
129,Decomposition,GM,Virality,Mechanics to grow player base which if done right should enrich gameplay. Also designed to reinforce retention.,0.559363067150116,gtr-t5-xl
62,Automation,LM,Accountability,"Can be viewed as autonomy where learners take responsibility for and control of themselves and their learning, including being less spoon-fed. May also include elements of learners taking responsibility for determining and directing the content of their learning. Related with open learning mechanics.",0.6200048923492432,gtr-t5-xl
125,Decomposition,LM,Action-Task,"An approach to learning involving individuals working on real projects, possibly with group support (collaborative/cooperative learning) to assist members reflect on their experience and to plan next actions.",0.5358279943466187,gtr-t5-xl
2,Abstraction,LM,Analyse,"Related to diagnostic tests to identify weaknesses, and used so that these might be addressed in a more focused manner.",0.5662567615509033,gtr-t5-xl
158,Evaluation,LM,Assessment,"Measurement of the progress and achievement of a learner (typically through quizzes, examinations or even projects). For example, formative assessment allows learners to gauge their proficiency thereby to improve their self-regulatory skills. Rather than expressed as marks or grades, words are used to convey or reveal information, which can then be used diagnostically (e.g. summative assessment).",0.6038556694984436,gtr-t5-xl
128,Decomposition,LM,Competition,Competitive learning is often used as an extracurricular activity to develop creativity and problem solving skills. Game theory offers techniques for formulating competition between parties that wish to reach an optimal position.,0.5476746559143066,gtr-t5-xl
129,Decomposition,LM,Demonstration,A pedagogical method related to problem-based learning. • Participation: A (active learning) process of engaging with the learning task at both the cognitive and affective level.,0.5392758846282959,gtr-t5-xl
130,Decomposition,LM,Discover,"An inquiry-based learning mechanic (from constructivist learning theory) where the learner draws on past experiences and existing knowledge to discover new facts and relationships to solve problems. As a result, learners are more likely to retain concepts and knowledge in contrast to transmissionist learning. Related to: guided discovery, problem-based learning, simulation-based learning, case-based learning, and incidental learning.",0.6322362422943115,gtr-t5-xl
131,Decomposition,LM,Experimentation,"Typically involves laboratory/practical classes, this type of teaching is often used in curricula in experimental sciences, biomedical and engineering disciplines, which is broadly intended to offer training in techniques and learning how to carry out experimental investigations. Associated to experiential learning.",0.48580771684646606,gtr-t5-xl
132,Decomposition,LM,Explore,"A mechanism that encourages the learner to explore and experiment to uncover relationships, with much less of a focus on didactic training (teaching students by lecturing them). Exploratory learning approaches are considered most appropriate for teaching generalised thinking and problemsolving skills, and may not be the best approach for such things as memorisation (or repetition). Is related to constructivist theory.",0.5839056372642517,gtr-t5-xl
164,Evaluation,LM,Feedback,"Oral or written developmental advice on performance so that the learner has a better understanding of values, standards, criteria, etc. Linked with formative assessment.",0.5725173950195312,gtr-t5-xl
134,Decomposition,LM,Generalisation-Discrimination,"In psychology this relates to the process by which people learn to make different responses to different stimuli. Behaviourists describe this as classical conditioning (also Pavlovian or respondent conditioning, Pavlovian reinforcement). In some ways this can be viewed as induction. Induction (inductive learning/teaching) aims at equipping learners with background information so that they might become effective in their role sooner.",0.6096386313438416,gtr-t5-xl
135,Decomposition,LM,Guidance,"A means to help students see the structure, links and direction of the course material.",0.563006579875946,gtr-t5-xl
