,PC,type,Mechanics,Mech_desc,score,modelo
52,Automation,GM,Action Points,"Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing.",0.2926962673664093,msmarco-MiniLM-L6-cos-v5
131,Evaluation,GM,Appointment,A mechanic in which to succeed a “player” must return at a predefined time to take a predetermined action. Simple and powerful mechanic to influence the player’s behavior.,0.19718223810195923,msmarco-MiniLM-L6-cos-v5
54,Automation,GM,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,0.1461801528930664,msmarco-MiniLM-L6-cos-v5
133,Evaluation,GM,Capture-Eliminate,"The strength of the player is defined by how many points or counters the player has captured. This is most prominent in action, strategic or war based games. Many board games also use this technique.",0.0863153338432312,msmarco-MiniLM-L6-cos-v5
4,Abstraction,GM,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,0.29763519763946533,msmarco-MiniLM-L6-cos-v5
83,Data,GM,Collecting,"Elements of virtual knowledge, competencies, or rewards can be represented by virtual objects, which can be collected by the player.",0.2583041191101074,msmarco-MiniLM-L6-cos-v5
58,Automation,GM,Communal Discovery,"Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network.",0.17438365519046783,msmarco-MiniLM-L6-cos-v5
111,Decomposition,GM,Cooperation-Collaboration,"In cooperative games, the mechanics require players to work with one another but their goals are different, and not all players are guaranteed to benefit equally. In collaborative games, players share common goals and outcomes; players either win or lose together. Cooperative games exist on the spectrum between competitive and collaborative games, where gamers are rewarded for group-oriented strategies only when it is in their own self-interest.",0.20130515098571777,msmarco-MiniLM-L6-cos-v5
112,Decomposition,GM,Game Turns,"A segment of the game set aside for certain actions to happen before moving on to the next turn, where the sequence of events can largely be repeated.",0.11708895117044449,msmarco-MiniLM-L6-cos-v5
61,Automation,GM,Infinite Gameplay,Games that have no explicit end. Most applicable to casual games that can refresh their content or games where a static (but positive) state is a reward of its own.,0.0359170064330101,msmarco-MiniLM-L6-cos-v5
140,Evaluation,GM,Meta-Game Mechanic,"Rewards or improvements that can be earned during the actual game-play and/or outside of it, that carries over to repeat plays.",0.13305151462554932,msmarco-MiniLM-L6-cos-v5
115,Decomposition,GM,Ownership (GM),Used to create loyalty of the gaming pool.,0.08568175137042999,msmarco-MiniLM-L6-cos-v5
64,Automation,GM,Pareto Optimal,"A mechanic where the outcome is one in which no player could be better off without another becoming worse off. The mechanic occurs in a number of conflicts, negotiation, economics, management and quantum games. Pareto efficiency is reached if the games’ outcome is shown to deliver a Pareto optimal allocation of resources.",0.28503650426864624,msmarco-MiniLM-L6-cos-v5
65,Automation,GM,Pavlovian Interaction,"Follows the methodology ‘easy to learn, hard to master’. Meaning the game is simple to pick up and play, however, increases its difficulty as the user advances through the game. Used to ‘hook’ gamers due to its replay value and challenging environment.",0.2651253640651703,msmarco-MiniLM-L6-cos-v5
66,Automation,GM,Protégé Effect,Explores learners’ tendency to work harder for their teachable agents (i.e. their avatars or alter ego) than for themselves; it has significant benefits for learning and engagement.,0.30091822147369385,msmarco-MiniLM-L6-cos-v5
67,Automation,GM,Questions and Answers,"Used within the gaming environment as a basic, yet effective means of interacting and engaging with the player to facilitate learning.",0.1572132259607315,msmarco-MiniLM-L6-cos-v5
68,Automation,GM,Quick Feedback,"Shows the user what they have just done, and gives them instant gratification (the feel-good factor) of things happening after they have completed a task. Allows the user to feel understood by the game; by giving a user power, the game fulfills a natural human desire.",0.2795192003250122,msmarco-MiniLM-L6-cos-v5
147,Evaluation,GM,Resource Management,Establishing relative values for different types of resources. Games that use this mechanic often have several concurrent transactions and the challenge involves making the best decision given the resources and time constraints.,0.2465732842683792,msmarco-MiniLM-L6-cos-v5
148,Evaluation,GM,Rewards,Feedback a player would receive for a worthy action. Used to incentivise the player to progress in the game. Rewards are designed to sustain engagement and to satisfy the player.,0.1077219694852829,msmarco-MiniLM-L6-cos-v5
45,Algorithm,GM,Role Playing,"Rely on mechanics to establish the effectiveness of actions within the game, depending on how well the player assumes and develops their role as a virtual character.",0.23236317932605743,msmarco-MiniLM-L6-cos-v5
