,PC,type,Mechanics,Mech_desc,score,modelo
52,Automation,GM,Action Points,"Control what the user may do during their turn in the game by allocating them a budget of ‘action points’. Actions points allow users’ time to think of their next and future moves, the game gets the user into a strategic mindset when playing.",0.2771413028240204,stsb-roberta-large
53,Automation,GM,Appointment,A mechanic in which to succeed a “player” must return at a predefined time to take a predetermined action. Simple and powerful mechanic to influence the player’s behavior.,0.44801485538482666,stsb-roberta-large
132,Evaluation,GM,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,0.22559593617916107,stsb-roberta-large
133,Evaluation,GM,Capture-Eliminate,"The strength of the player is defined by how many points or counters the player has captured. This is most prominent in action, strategic or war based games. Many board games also use this technique.",0.386795312166214,stsb-roberta-large
108,Decomposition,GM,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,0.3975602984428406,stsb-roberta-large
5,Abstraction,GM,Collecting,"Elements of virtual knowledge, competencies, or rewards can be represented by virtual objects, which can be collected by the player.",0.3409433960914612,stsb-roberta-large
136,Evaluation,GM,Communal Discovery,"Involves an entire community working together to solve a problem. Has an incredible opportunity to positively influence the games’ usage and acceptance. Essentially crowd sourcing with communal incentives to rapidly create a large, self-propagating network.",0.29600057005882263,stsb-roberta-large
137,Evaluation,GM,Cooperation-Collaboration,"In cooperative games, the mechanics require players to work with one another but their goals are different, and not all players are guaranteed to benefit equally. In collaborative games, players share common goals and outcomes; players either win or lose together. Cooperative games exist on the spectrum between competitive and collaborative games, where gamers are rewarded for group-oriented strategies only when it is in their own self-interest.",0.4216243326663971,stsb-roberta-large
138,Evaluation,GM,Game Turns,"A segment of the game set aside for certain actions to happen before moving on to the next turn, where the sequence of events can largely be repeated.",0.3228200674057007,stsb-roberta-large
139,Evaluation,GM,Infinite Gameplay,Games that have no explicit end. Most applicable to casual games that can refresh their content or games where a static (but positive) state is a reward of its own.,0.4822862446308136,stsb-roberta-large
